0*C046983 06-Paris-LA-66 protocol
1*C039775 10,11-dihydro-10-hydroxycarbamazepine
30*C090785 1,25-dihydroxy-24-oxo-16-ene-vitamin D3
31*C003564 1,25-dihydroxyergocalciferol
32*C097949 1,25-dihydroxyvitamin D
33*C513234 12-acetoxyhawtriwaic acid lactone
34*C509618 1-(2-amino-2-carboxyethyl)-3-(2-carboxybenzyl)pyrimidine-2,4-dione
35*C503634 1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile
36*C070379 1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester
37*C461261 (1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate)
38*C118156 1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine
39*C549500 1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea
40*C569107 1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one
41*C017139 1-(2-chloroethyl)-1-nitrosourea
42*C472829 1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole
43*C487780 1-(2-deoxy-beta-L-erythropentafuranosyl)-5-methyl-2,4(1H)-pyrimidinone
44*C035384 1,2-dichloroethylene
45*D014013 1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt
46*C505980 1-((2-dimethylamino)ethylamino)-4-(2-(3-hydroxymethylpiperidin-1-yl)ethylamino)-5,8-dihydroxyanthracene-9,10-dione
47*D015060 1,2-Dipalmitoylphosphatidylcholine
48*C568514 1-(2-fluorophenyl)-3-(2-(morpholin-2-yl)ethyl)-1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide
49*C552258 1-(2-hydroxy-1-phenylethyl)-3-(4-(pyridin-4-yl)phenyl)urea
50*C002448 1,2-linoleoylphosphatidylcholine
51*C058895 1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine
52*C427703 1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane
53*C420062 1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea
54*C519696 1-(2-phenethyl)-4-(2-pyridyl)piperazine
55*C098186 1-(2-trifluoromethylphenyl)imidazole
56*C092337 1-(2-(tris(4-methoxyphenyl)methoxy)ethyl)-3-piperidinecarboxylic acid
57*C520255 130-nm albumin-bound paclitaxel
58*C509503 13,17,21-trimethyldocosa-12,16,20-trien-11-one
59*C503102 1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate
60*C404207 1-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-3,4-dihydro-5-methoxy-2(1H)-quinolinone
61*C552420 1-(3',4',5'-trimethoxyphenyl)-3-(3'',4''-dimethoxy-2'-hydroxyphenyl)propane
62*C474071 1-(3,4-dichlorophenyl)-3-azabicyclo-(3.1.0)hexane hydrochloride
63*C572065 1-(3,4-dihydro-6,7-dimethoxy-2(1H)-isoquinolinyl)-3,3-dimethyl-2-((4-pyridinylmethyl)amino)-1-butanone
64*C000603962 1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one
65*C528657 1,3,5,6-tetrahydroxyxanthone
66*C473336 1,3-benzenediamidoethanethiol
67*C489138 1,3-benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile
68*C534147 1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine
69*C524478 1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole
70*C028491 1,3-butylene glycol
71*C065734 1-(3-chlorophenyl)biguanide
72*C015068 1-(3-chlorophenyl)piperazine
73*C579534 1,3-diacetoxytetradeca-6,12-dien-8,10-diyne
74*C038983 1,3-dimethylthiourea
75*C051360 1,3-dipropyl-8-cyclopentylxanthine
76*C013362 13-hydroxylupanine-2-pyrrolecarbonic acid
77*C018406 1-(3-trifluoromethylphenyl)piperazine
78*C531961 1-(4-(1,1-dimethylheptyl)-2,6-dimethoxyphenyl)-3-methylcyclohexanol
79*C569670 1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one
80*C452424 1-(4-(2-(bis(4-fluorophenyl)methoxy)ethyl)piperazinyl)-3-phenylpropan-2-ol
81*C531547 1-((4-(aminocarbonyl)pyridinio)trimethylene)-2-((hydroxyimino)methyl)pyridinium
82*C521339 1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid
83*C500851 14-benzyloxy-4,5-epoxy-3-hydroxy-17-methylmorphinan-6-one
84*C028474 1,4-bis(2-(3,5-dichloropyridyloxy))benzene
85*C524716 1-(4-carbamoylpyridinium)-4-(4-hydroxyiminomethylpyridinium)but-2-ene
86*C420084 1-(4-chlorobenzoyl)-5-methoxy-2-1H-indole-3-acetic acid 3-(nitrooxymethyl)phenyl ester
87*C504151 1-(4-chlorophenyl)-4-piperidin-1-yl-1,5-dihydroimidazol-2-one
88*C064620 1,4-cyclohexanediol
89*C048858 14-dehydroxy-3-glucodigitoxigenin
90*C047778 1-(4'-hydroxy-2'-butenoxy)methyl-2-nitroimidazole
91*C481758 1-(4-hydroxyiminomethylpyridinium)-3-(carbamoylpyridinium) propane dibromide
92*C081949 14-methoxymetopon
93*C050133 14-methyl-8-oxacyclorphan
94*C090859 1-((4-methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole
95*C035342 1,4-naphthoquinone
96*C562246 1-(4-nitro-2-(trifluoromethyl)phenyl)-4-(3-(trifluoromethyl)phenyl)piperazine
97*C547349 14-O-methyloxymorphone
98*C074153 1,4-phenylenebis(methylene)selenocyanate
99*C477941 1,4-phenylenebis(methylene)selenocyanate, glutathione conjugate
100*C048927 1,5-anhydrofructose
101*C106444 1-(5-bromofur-2-il)-2-bromo-2-nitroethene
102*C484309 1-((5-chloro-1H-indol-2-yl)carbonyl)-4-methylpiperazine
103*C042148 15-crown-5
104*C097240 15-deoxy-delta(12,14)-prostaglandin J2
105*C477819 15-deoxyprostaglandin J2
106*C095653 1,5-dihydroxyisoquinoline
107*C062028 1-(5-hydroxy-5-methylhexyl)-3-methylxanthine
108*D019307 1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine
109*C025170 15(S)-15-methylprostaglandin E1
110*D015064 16,16-Dimethylprostaglandin E2
111*C054250 1-(6-(2,4-dichlorophenyl)-3-pyridazinyl)-4-piperidinol
112*C558737 1-(6-((2-(dimethylamino)ethyl)(methyl)amino)-1,3-dimethyl-1H-pyrazolo(3,4-b)pyridine-5-carbonyl)-3-(3-isopropoxyphenyl)urea
113*C060229 1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione
114*C534047 1-(6,6-bis(4-fluorophenyl)hexyl)-4-(3,4,5-trimethoxybenzyl)piperazine
115*C480140 1,6-Bis(4-(4-amino-3-hydroxyphenoxy)phenyl)diamantane
116*C499148 17,17'-bis(cyclopropylmethyl)-6,6',7,7'-tetrahydro-4,5-4',5'-diepoxy-6,6'-(benzylimino)(7,7'-bimorphinan)-3,3',14,14'-tetrol
117*C523983 1-(7-(2-chlorophenyl)-8-(4-chlorophenyl)-2-methylpyrazolo(1,5-a)-(1,3,5)triazin-4-yl)-3-ethylaminoazetidine-3-carboxylic acid amide
118*C410803 17-(5'-isoxazolyl)androsta-4,16-dien-3-one
119*D000077713 17 alpha-Hydroxyprogesterone Caproate
120*C448659 17-(dimethylaminoethylamino)-17-demethoxygeldanamycin
121*C021183 1,7-dimethylxanthine
122*C524733 17-ethynyl-5-androstene-3, 7, 17-triol
123*C062894 17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid
124*C057916 17-hydroxyjolkinolide B
125*C008541 17-monochloroacetylajmaline
126*C122128 1,7-N-heptylene-bis-9,9'-amino-1,2,3,4-tetrahydroacridine
127*C029185 17-pentylsparteine
128*C092396 17-phenyltrinorprostaglandin E2
129*C521270 18alpha,20beta-hydroxy-11-oxo-norolean-12-en-3beta-yl-2-O-beta-D-glucopyranurosyl-alpha-D-glucopyranosiduronate magnesium tetrahydrate
130*C119129 18alpha-glycyrrhetinic acid
131*C103345 18-methoxycoronaridine
132*C495172 (19Z)-halichondramide
133*C047948 1'-acetoxychavicol acetate
134*C057996 1'-acetoxyeugenol
135*C548433 1-(acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-(3-methylpenta-2,4-dien-1-yl)naphtho(1,8a-c)furan-3,5-diyl dibutanoate
136*C023850 1 alpha,24-dihydroxyvitamin D3
137*C042533 1 alpha-hydroxyergocalciferol
138*C036361 1-amino-1,3-dicarboxycyclopentane
139*C523415 1-amino-2-phosphonomethylcyclopropanecarboxylic acid
140*C087307 1-amino-5-bromouracil
141*C033020 1-aminobenzotriazole
142*C409063 1-aminocyclopentane-1,2,4-tricarboxylic acid
143*C108242 1-aminocyclopentane-1,3,4-tricarboxylic acid
144*C095756 1-aminoindan-1,5-dicarboxylic acid
145*C036423 1-aminomethylphosphonic acid
146*C404200 1-(benzofuran-2-yl)-2-propylaminopentane
147*C017062 1-benzylimidazole
148*C006737 1-benzylpiperazine
149*C495109 1-(beta-naphthylmethyl)-6,7-dihydroxy-1,2,3,4-tetra-hydroisoquinoline
150*D020001 1-Butanol
151*C115293 1-(carboxymethyl)-3,5-diphenyl-2-methylbenzene
152*C000591541 1-cyclopropyl-4-(4-((5-methyl-3-(3-(4-(trifluoromethoxy)phenyl)-1,2,4-oxadiazol-5-yl)-1H-pyrazol-1-yl)methyl)pyridin-2-yl)piperazine
153*D017485 1-Deoxynojirimycin
154*C559381 ((1-ethylpyrrolidin-2-yl) methyl)-4-hydroxy-7-methoxy-quinoline-3-carboxamide
155*C095284 1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one
156*C051942 1-hexacosanol
157*C087551 1H-Indene-2-carboxylic acid, 1-(1,3-benzodioxol-5-yl)-3-(2- (carboxymethoxy)-4-methoxyphenyl)-2,3-dihydro-5-propoxy-, (1S,2R,3S)-
158*C001369 1-hydroxy-3-amino-2-pyrrolidone
159*C121954 1-(isopropylamino)-3-((4-propenyl-2-methoxy)phenoxy)-2-propanol
160*C477931 1L-6-hydroxymethyl-chiro-inositol 2(R)-2-O-methyl-3-O-octadecylcarbonate
161*C521406 1-(methanesulfonamido-1-naphthyloxy)-2-(N-(4-methane sulfonamidophenethyl)-N-acetamido)ethane
162*C050386 1-methyl-1,2,3,4-tetrahydroisoquinoline
163*D015056 1-Methyl-3-isobutylxanthine
164*D015632 1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine
165*C018509 1-methylergotamine
166*C412893 1-methylpropyl-2-imidazolyl disulfide
167*C073193 1-methylspermidine
168*C003498 1'-methylspiro(adamantane-2,3'-pyrrolidine)maleate
169*C525396 1-methyltryptophan
170*C067506 1-naphthylacetylspermine
171*C081906 1-O-hexyl-2,3,5-trimethylhydroquinone
172*C495479 1-oxo-1-(5-(2-pyridyl)-2-yl)-7-phenylheptane
173*C037320 1-phenylcyclohexylamine
174*C509276 1-propyl-2,3,4,4a,5,7,8,9,10,10a-decahydro-1H-benzo(g)quinolin-6-one
175*C097396 1-(quinoxalin-6-ylcarbonyl)piperidine
176*C021279 (1R-(exo,exo))-3-(4-fluorophenyl)-8-methyl-8- azabicyclo(3.2.1)octane-2-carboxylic acid, methyl ester
177*C515164 ((1S)-1-((((1S)-1-benzyl-3-cyclopropylamino-2,3-di-oxopropyl)amino)carbonyl)-3-methylbutyl)carbamic acid 5-methoxy-3-oxapentyl ester
178*C499293 (1'S, 2S)-4-amino-N-(1'-carbamoyl-2'-phenylethyl)-2-(4''-methyl-1''-naphthalenesulfonylamino)butanamide
179*D015059 1-Sarcosine-8-Isoleucine Angiotensin II
180*C581572 1-trifluoromethoxyphenyl-3-(1-propionylpiperidine-4-yl)urea
181*C031903 1-UFT protocol
182*C466795 20,21-epoxyresibufogenin-3-formate
183*C022915 20682-S
184*D004092 20-alpha-Dihydroprogesterone
185*C070066 2-(1',2',3',4'-tetrahydroxybutyl)thiazolidine-4-carboxylic acid
186*C552888 2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide
187*C532162 2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine
188*C548651 2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester
189*C511222 2-(1-hydroxypentyl)-benzoate
190*C475637 2-(2-(1-benzylpiperidin-4-yl)ethyl)-2,3-dihydro-9-methoxy-1H-pyrrolo(3,4-b)quinolin-1-one hemifumarate
191*C484885 (2-(2,2-dimethylpropionyloxy)ethyl)trimethylammonium
192*C116673 2,2,3,3-tetramethylcyclopropane carboxamide
193*C093344 2-(2-(3-(4-chloro-3-(trifluoromethyl)phenyl)ureido)-4-(trifluoromethyl)phenoxy)-4,5-dichlorobenzenesulfonic acid
194*C082313 2-(2,3-dicarboxycyclopropyl)glycine
195*C520404 (2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide
196*C101670 2-(2-(4-(4-nitrobenzyloxy)phenyl)ethyl)isothiourea methanesulfonate
197*C057548 2-(2,4-dimethylphenyl)indan-1,3-dione
198*C501946 2,2,6,6-tetramethylpiperidin-4-yl heptanoate
199*C010654 (2-(2',6'-dimethoxy)phenoxyethylamino)methylbenzo-1,4-dioxane
200*C001079 2-(2,6-dioxopiperidin-3-yl)phthalimidine
201*C093973 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one
202*C029345 2-(2-aminoethyl)thiazole
203*C103723 2-(2-benzofuranyl)-2-imidazoline
204*C019273 2,2-bis(4-glycidyloxyphenyl)propane
205*C120227 2-(2-chloro-4-iodophenylamino)-N-cyclopropylmethoxy-3,4-difluorobenzamide
206*C044565 2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide
207*C554850 2-(2-chlorophenyl)-4-methyl-5-(pyridin-2-ylmethyl)-1H-pyrazolo(4,3-c)pyridine-3,6(2H,5H)-dione
208*C546571 2,2'-cyclohexane-1,2-diylbis(azanediyl)bis(methylene)diphenoldichloroplatinum(II)
209*C094207 2-(2'-cyclopentyl-2'-phenyl-2'-hydroxyethoxy)tropane
210*C116893 2,2-dichloro-12-(p-chlorophenyl)-dodecanoic acid
211*C443758 2-(2''-dichloroacetamidobenzyl)-3-(3'-indolylquinoline)
212*C521335 2-(2'-(dimethylamino)ethyl)-1,2-dihydro-7-ethoxydibenz(de,h)isoquinoline-1,3-dione
213*C027032 2,2'-dithiodiethanesulfonic acid
214*C560790 2-(2-fluorobenzamido)benzoate ethyl ester
215*C539997 2-(2-furanyl)-7-(2-(4-(4-(2-methoxyethoxy)phenyl)-1-piperazinyl)ethyl)-7H-pyrazolo(4,3-e)(1,2,4)triazolo(1,5-c)pyrimidine-5-amine
216*C446520 2-(2-hydroxyethylsulfanyl)-3-methyl-1,4-naphthoquinone
217*C094210 2,2'-(hydroxynitrosohydrazono)bis-ethanamine
218*C110190 2,2-phenyl-3,3a-dihydro-4-oxo-5-(4-phenylpiperazin-1-yl)methylpyrazolo(1,5-d)(1,2,4)triazine
219*C505456 2-((2-piperidin-1-ylethyl)thio)quinazolin-4(3H)-one
220*C487113 2-((3-(1,3-benzodioxol-5-yl)-3-(((6-methoxy-2-naphthyl)sulfonyl)amino)propanoyl)amino)-3-(4-((2,6-dimethylpiperidinyl)methyl)phenyl)-N-isopropyl-N-methylpropanamide
221*D015647 2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine
222*C560273 2-(3',4'-dihydroxyphenyl)-5,7-dihydroxy-3-(2'',6''-di-O-(3'''-(4-fluorophenylpropanoyl)))galactosyl-4H-chromen-4-one
223*C539142 2-(3,4-dimethoxybenzyl)-7-(1-(1-hydroxyethyl)-4-phenylbutyl)-5-methylimidazo(5,1-f)(1,2,4)triazin-4 (3H)-one
224*C093026 2,3,5,4'-tetrahydroxystilbene 2-O-glucopyranoside
225*C036837 2,3,5-trimethyl-6-(12-hydroxy-5,10-dodecadiynyl)-1,4-benzoquinone
226*C558395 2-(3-benzoyl)-4-hydroxy-1,1-dioxo-2H-1,2-benzothiazine-2-yl-1-phenylethanone
227*C029498 2,3-bis(3'-hydroxybenzyl)butane-1,4-diol
228*C029497 2,3-bis(3'-hydroxybenzyl)butyrolactone
229*C017199 2',3'-dialdehyde ATP
230*C054312 2,3-diaminophenazine
231*C485382 2',3'-dideoxy-5-fluoro-3'-thiacytidine triphosphate
232*C037406 2',3'-dideoxycytidine 5'-triphosphate
233*C009135 2,3-dihydroxybenzoic acid
234*C001042 2',3-dimethyl-4-aminobiphenyl
235*C062865 2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline
236*C511643 23-hydroxytormentic acid
237*C474576 2-(3-mercaptopropyl)pentanedioic acid
238*C045674 2',3'-O-(2,4,6-trinitro-cyclohexadienylidine)adenosine 5'-triphosphate
239*C009587 2',3'-O-(2,4,6-trinitrophenyl)adenosine 5'-triphosphate
240*C092716 2-(3-trifluoromethylphenyl)histamine
241*C545121 2-((4-(1-methyl-4-pyridin-4-yl-1H-pyrazol-3-yl)phenoxy)methyl)quinoline
242*C449119 2-(4-(2-(((1,2)-2-hydroxy-2-(4-hydroxyphenyl)-1-methylethyl)amino)ethyl)phenoxy)-2-methylpropionic acid
243*C517140 2-(4-(2-(3,4-dichlorophenyl)ethyl)phenylamino)benzoic acid
244*D015650 24,25-Dihydroxyvitamin D 3
245*C061282 2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine
246*C477900 2-(4-(4-chlorophenyl)piperazin-1-ylmethyl)pyrazolo(1,5-a)-pyridine
247*C014024 2,4,5,2',4',5'-hexachlorobiphenyl
248*C107067 2,4,6-trihydroxyacetophenone
249*C054589 2,4,6-triphenyl-1,3-dioxane
250*C104564 2-(4-acetoxyphenyl)-2-chloro-N-methylethylamine
251*C525921 2-(4-(biphenyl-4-sulfonyl)-piperazin-1-yl)-6,7-dipropoxyquinazolin-4-yl-amine
252*C548544 2-(4-chloro-6-(2,3-dimethylphenylamino)pyrimidin-2-ylthio)octanoic acid
253*C553486 2-(4-cyclopropylphenyl)-N-(1-(5-((2,2,2-trifluoroethyl)oxo)pyridin-2-yl)ethyl)acetamide
254*C000612000 24-diamino-5-phenylthiazole
255*C005959 2,4-diaminobutyric acid
256*D015084 2,4-Dichlorophenoxyacetic Acid
257*C501649 2',4'-dihydroxy-6'-methoxy-3',5'-dimethylchalcone
258*C585912 2,4-dihydroxy-N-(4-hydroxyphenyl)benzamide
259*C568959 2-(4-((dimethylamino)carbonyl)-3-fluorophenyl)-alpha,alpha-dimethyl-N-1,3,4-thiadiazol-2-yl-5H-(1)benzopyrano(2,3-b)pyridin-5-acetamide
260*C543150 2-(4-((dimethylamino)methyl)benzylidene)-5,6-dimethoxy-2,3-dihydroinden-1-one
261*D019297 2,4-Dinitrophenol
262*C000590645 2,4-dinitrophenol methyl ether
263*C063918 2-(4-hydroxy-3,5-dimethylphenyl)-5-methoxy-3-methylindole
264*C439584 2-(4-hydroxyphenyl)-3-methyl-1-(4-(2-piperidin-1-yl-ethoxy)-benzyl)-1H-indol-5-ol
265*C559491 2-(4-isobutylphenyl)propionic acid 4-(diethoxyphosphoryloxy)butyl ester
266*C000592767 2-(4'-methoxybenzenesulfonyl)-2,3,4,9-tetrahydro-1H-pyrido(3,4-b)indole-3-carboxylic acid amide
267*C000589286 2-(4-methoxyphenyl)ethyl-2-acetamido-2-deoxyglucopyranoside
268*C405143 24-methylenecycloartenol
269*C071738 2-(4-morpholino)ethyl-1-phenylcyclohexane-1-carboxylate
270*C085911 2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one
271*C081331 24-norursodeoxycholic acid
272*C079315 2-(4-(quinolin-2-yl-methoxy)phenyl)-2-cyclopentylacetic acid
273*C477861 (2-(5-amino-2-(4-fluorophenyl)-1,6-dihydro-6-oxo-1-pyrimidinyl)-N-(1-((5-methoxycarbonyl-2-benzoxazolyl)carbonyl)-2-phenylethyl)acetamide)
274*C552046 2,5-bis(2-(2-propoxy)-4-(2-pyridylimino)aminophenyl)furan
275*C555559 2,5-di-(2-phenethyl)pyrrolidine
276*C021008 2',5'-dideoxyadenosine
277*C572639 2,5-dihydroxy-1,4-dithiane-2,5-dicarboxylic acid
278*C010925 2,5-dihydroxybenzoic acid
279*C003943 2,5-dimethoxy-4-bromoamphetamine
280*C020617 2,5-dimethyl-4-benzoquinone
281*C506698 2,5-dimethylcelecoxib
282*C011269 2,5-hexanedione
283*C007997 25-hydroxycholesterol
284*C529607 25-hydroxyprotopanaxadiol
285*C104450 25-hydroxyvitamin D
286*C023505 2',5'-oligoadenylate
287*C570401 2-(6-((3,4-dihydro-2H-chromen-2-ylmethyl)amino)hexyl)tetrahydro-1H-pyrrolo(1,2-c)imidazole-1,3(2H)-dione
288*C469683 2-(6-((3-(4-(diphenylmethoxy)piperidino)propyl)amino)imidazo(1,2-b)pyridazin-2-yl)-2-methylpropionic acid
289*D015086 2,6-Dichloroindophenol
290*C556138 2,6-diisopropyl-4-(1-hydroxy-2,2,2-trifluoroethyl)phenol
291*C438607 2,6-di-tert-butyl-4-(3-hydroxy-2,2-dimethylpropyl)phenol
292*C070898 2,6-dithiopurine
293*C107690 2,7,8-trimethyl-2-(beta-carboxyethyl)-6-hydroxychroman
294*C549913 2-((8-chlorodibenzo(b,f)thiepin-10-yl)oxy)-N-methylethan-1-amine
295*C062897 28-deoxonimbolide
296*C522027 (2,8-dioxabicyclo(3.3.0)oct-6-yl)-N-(4-((3,4-methylenedioxyphenyl)sulfonyl-(2-methylpropyl)amino)-3-hydroxy-1-phenylbutan-2-yl) carbamate
297*C000597780 28-O-caffeoyl betulin
298*C507130 2-(8-quinolinoxy)propionic acid
299*C023704 2-acetamidoethanethiol
300*C575483 2-acetoxy-5-(2-4-(trifluoromethyl)phenethylamino)benzoic acid
301*C104935 2-(allylthio)pyrazine
302*C061610 2-amino-1,9-dihydro-9-(3-hydroxy-4-(hydroxymethyl)cyclopentyl)-6H-purine-6-one
303*C089836 2-amino-2-methyl-4-phosphonobutyrate
304*C036990 2-amino-3,8-dimethylimidazo(4,5-f)quinoxaline
305*C581356 2-amino-4-(3,4-(methylenedioxy)benzylamino)-6-(3-methoxyphenyl)pyrimidine
306*C114614 2-amino-4-methylenecyclopentane-1-carboxylic acid
307*C012729 2-amino-4-phosphonobutyric acid
308*C015672 2-amino-4-picoline
309*C093124 2-amino-5,6-dihydro-6-methyl-4H-1,3-thiazine
310*C077642 2-amino-5-phosphonomethyl(1,1'-biphenyl)-3-propanoic acid
311*C461207 2-amino-6-(4-methoxyphenylthio)-9-(2-(phosphonomethoxy)ethyl)purine bis(2,2,2-trifluoroethyl) ester
312*C000614067 2-amino-6-chloro-alpha-cyano-3-(ethoxycarbonyl)-4H-1-benzopyran-4-acetic acid ethyl ester
313*C570662 2-amino-8-(4-(2-hydroxyethoxy)cyclohexyl)-6-(6-methoxypyridin-3-yl)-4-methylpyrido(2,3-d)pyrimidin-7(8H)-one
314*C027667 2-aminophenol
315*D015075 2-Aminopurine
316*C484327 2'-benzoyloxycinnamaldehyde
317*C553968 2-benzylidene-4-phenyl-1,3-diselenole
318*C570406 2-chloro-4'-methoxychalcone
319*C457499 2-chloro-5-nitrobenzanilide
320*D015762 2-Chloroadenosine
321*C090034 2-chloro-N(6)-(3-iodobenzyl)adenosine-5'-N-methyluronamide
322*C058394 2-chloro-N(6)cyclopentyladenosine
323*C116817 2-cyano-3,12-dioxoolean-1,9-dien-28-oic acid
324*C518860 2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oic acid ethyl amide
325*C530803 2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oic acid methyl amide
326*C568680 (2-cyano-3,12-dioxooleana-1,9-dien-28-oic acid) trifluoroethylamide
327*C115284 2-cyano-3-hydroxy-N-(4-(trifluoromethyl)phenyl)-2-hepten-6-ynamide
328*C504520 2'-deoxy-2'-fluoro-2'-C-methylcytidine
329*C120719 2'-deoxy-3'-oxa-thiocytidine
330*C058706 2-desamino-2-methylaminopterin
331*C004817 2-diethylaminoethyl diallylphenylacetate
332*C492322 2-dimethylamino-4,5,6,7-tetrabromo-1H-benzimidazole
333*C000595230 2-((dimethylamino)methyl)-9-hydroxythieno(2,3-c)isoquinolin-5(4H)-one
334*C581182 2-dodecyl-6-methoxycyclohexa-2,5-diene-1,4-dione
